id,country_code,year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",co2_emissions,forest_area
122,CIV,2021,45.2,94.9,14.5134,8.565492767
123,CIV,2022,45.3,95,14.7633,8.210499686
124,CIV,2023,,,14.4125,
125,CMR,2021,24.8,94.7,10.2313,42.91104483
126,CMR,2022,25,94,10.8265,42.79257896
127,CMR,2023,,,10.7556,
128,COD,2021,1,43.8,3.5103,55.16149326
129,COD,2022,1,45.3,3.892,54.67567592
130,COD,2023,,,3.7995,
131,COG,2021,12.4,67,7.0188,64.21961933
132,COG,2022,12.4,67.5,7.7196,64.17569546
133,COG,2023,,,7.2508,
134,COL,2021,100,100,87.9477,53.12539585
135,COL,2022,100,100,91.7605,52.94577639
136,COL,2023,,,100.8627,
137,COM,2021,82.9,100,0.3403,17.45298227
138,COM,2022,82.9,100,0.3172,17.21655024
139,COM,2023,,,0.3177,
140,CPV,2021,96.9,94.9,0.9927,11.41935484
141,CPV,2022,96.9,95.3,1.0371,11.49379653
142,CPV,2023,,,1.0063,
143,CRI,2021,100,99.8,8.0185,59.75793184
144,CRI,2022,100,100,8.09,60.07853506
145,CRI,2023,,,8.5733,
146,CSS,2021,95.98809886,99.24746392,9.4691,90.25514898
147,CSS,2022,96.19387095,99.47544232,9.4825,90.17211187
148,CSS,2023,,,9.7486,
149,CUB,2021,100,100,21.1483,31.23314066
150,CUB,2022,100,100,20.8476,31.23314066
151,CUB,2023,,,22.067,
152,CUW,2021,100,100,,0.157657658
153,CUW,2022,100,100,,0.157657658
154,CYM,2021,100,100,0.3381,52.75
155,CYM,2022,100,100,0.3395,52.66666667
156,CYM,2023,,,0.358,
157,CYP,2021,100,100,6.9042,18.66991342
158,CYP,2022,100,100,7.1853,18.66774892
159,CYP,2023,,,7.1833,
160,CZE,2021,100,100,99.1481,34.70669802
161,CZE,2022,100,100,99.4325,34.73694318
162,CZE,2023,,,90.5128,
163,DEU,2021,100,100,677.8039,32.68267552
164,DEU,2022,100,100,659.5018,32.68548202
165,DEU,2023,,,582.9506,
166,DJI,2021,36.6,73.5,0.7928,0.253377912
167,DJI,2022,36.6,72.8,0.7485,0.257308024
168,DJI,2023,,,0.7492,
169,DMA,2021,100,100,0.0755,63.82666667
170,DMA,2022,100,100,0.0758,63.82666667
171,DMA,2023,,,0.0799,
172,DNK,2021,100,100,29.3959,15.7345
173,DNK,2022,100,100,28.1415,15.758
174,DNK,2023,,,26.7729,
175,DOM,2021,94.8,98.8,29.6662,44.65307911
176,DOM,2022,95,98.8,29.6442,44.82092833
177,DOM,2023,,,31.3508,
178,DZA,2021,99.3,100,179.7421,0.822227648
179,DZA,2022,99.3,100,186.6444,0.826332964
180,DZA,2023,,,180.3576,
181,EAP,2021,96.74835021,99.78370201,14418.2017,30.51266184
182,EAP,2022,96.46023981,99.78095146,14379.0057,30.5605969
183,EAP,2023,,,15206.0032,
184,EAR,2021,92.35129,99.01524033,7833.4948,22.70445365
185,EAR,2022,92.37872768,99.06211726,8100.7567,22.65338853
186,EAR,2023,,,8389.5306,
187,EAS,2021,96.83615161,99.81387498,16665.5463,27.19473679
188,EAS,2022,96.55688912,99.81105863,16495.532,27.22664712
189,EAS,2023,,,17247.0863,
190,ECA,2021,99.92593604,99.97529428,1279.4751,11.19673555
