id,country_code,year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",co2_emissions,forest_area
602,SAS,2022,98.01128431,99.91488378,3133.7482,18.91492248
603,SAS,2023,,,3332.5073,
604,SAU,2021,100,100,584.5083,0.454484135
605,SAU,2022,100,100,605.2576,0.454484135
606,SAU,2023,,,622.9136,
607,SDN,2021,49.4,84.2,23.0149,9.73629015
608,SDN,2022,49.4,84,21.403,9.644127409
609,SDN,2023,,,21.2733,
610,SEN,2021,43.4,93.9,12.2234,41.69822885
611,SEN,2022,43.4,96.6,12.3576,41.49046902
612,SEN,2023,,,12.0239,
613,SGP,2021,100,100,55.6895,21.43454039
614,SGP,2022,100,100,55.7572,21.18384401
615,SGP,2023,,,57.0683,
616,SLB,2021,75.4,79.2,0.3837,90.11218292
617,SLB,2022,75.4,79,0.405,90.08610218
618,SLB,2023,,,0.4188,
619,SLE,2021,4.9,57,1.0621,34.84552508
620,SLE,2022,5,55.3,1.1029,34.57218066
621,SLE,2023,,,1.0749,
622,SLV,2021,94.1,99.2,7.5314,27.96235521
623,SLV,2022,100,100,7.918,27.74517375
624,SLV,2023,,,8.3796,
625,SMR,2021,100,100,,16.66666667
626,SMR,2022,100,100,,16.66666667
627,SOM,2021,30.6,70.6,0.9266,9.409969076
628,SOM,2022,30.64,76.7,0.8662,9.287627124
629,SOM,2023,,,0.8682,
630,SRB,2021,100,100,,32.38125818
631,SRB,2022,100,100,,32.38581639
632,SSA,2021,30.39786247,80.73707713,854.4053,26.0835019
633,SSA,2022,30.71718827,80.97222369,838.6414,25.91603421
634,SSA,2023,,,824.269,
635,SSD,2021,5.7,15.6,,11.32562151
636,SSD,2022,1.7,15,,11.32562151
637,SSF,2021,30.40220843,80.73928306,855.5499,26.08441026
638,SSF,2022,30.72216767,80.97477648,839.8439,25.91694579
639,SSF,2023,,,825.5063,
640,SST,2021,90.64289682,96.38281955,99.1414,65.64104324
641,SST,2022,90.93046044,96.16985852,99.314,65.60837614
642,SST,2023,,,100.1171,
643,STP,2021,73.7,80,0.1785,53.41666667
644,STP,2022,73.7,80,0.2049,52.77083333
645,STP,2023,,,0.2141,
646,SUR,2021,97.5,99.5,2.6077,94.60014575
647,SUR,2022,98,100,2.5392,94.52387398
648,SUR,2023,,,2.6286,
649,SVK,2021,100,100,36.6184,40.05615641
650,SVK,2022,100,100,35.5536,40.05615641
651,SVK,2023,,,34.8616,
652,SVN,2021,100,100,13.7608,61.371114
653,SVN,2022,100,100,13.1319,61.27019229
654,SVN,2023,,,12.0765,
655,SWE,2021,100,100,39.8808,68.69966608
656,SWE,2022,100,100,36.2086,68.69966608
657,SWE,2023,,,35.3922,
658,SWZ,2021,79.1,94.6,1.2458,28.99825581
659,SWZ,2022,81.6,86.1,1.3526,29.06860465
660,SWZ,2023,,,1.3902,
661,SXM,2021,100,100,,10.88235294
662,SXM,2022,100,100,,10.88235294
663,SYC,2021,100,100,1.1446,73.26086957
664,SYC,2022,100,100,1.2025,73.26086957
665,SYC,2023,,,1.2373,
666,SYR,2021,74.5,100,25.3673,2.843108425
667,SYR,2022,75,100,25.2929,2.819315371
668,SYR,2023,,,25.5949,
669,TCA,2021,100,100,0.0974,11.07368421
670,TCA,2022,100,100,0.0978,11.07368421
671,TCA,2023,,,0.1031,
672,TCD,2021,1.3,43.2,2.1902,3.336509927
673,TCD,2022,1.3,46.3,2.507,3.249241105
674,TCD,2023,,,2.5714,
675,TEA,2021,96.74836243,99.78370663,14362.2562,30.36733345
676,TEA,2022,96.46025299,99.78095492,14320.9386,30.41697234
677,TEA,2023,,,15143.1683,
678,TEC,2021,99.95103768,99.70446997,3705.1652,39.31768473
679,TEC,2022,99.98435193,99.67414425,3684.5945,39.33038968
680,TEC,2023,,,3685.2828,
681,TGO,2021,24.7,96.3,2.46,22.17889318
682,TGO,2022,25,96.5,2.5301,22.12447141
683,TGO,2023,,,2.4926,
684,THA,2021,100,99.8,267.4912,38.82831921
685,THA,2022,100,100,275.8689,38.75785394
686,THA,2023,,,274.16,
687,TJK,2021,99.8,98.9,9.3784,3.060739246
688,TJK,2022,100,99,9.1838,3.067944376
689,TJK,2023,,,9.3082,
690,TKM,2021,100,100,65.2897,8.782159045
691,TKM,2022,100,100,66.6193,8.782159045
692,TKM,2023,,,65.9877,
693,TLA,2021,96.43712514,99.54428056,1667.971,46.45337035
694,TLA,2022,96.71490201,99.6175186,1674.6211,46.3353422
695,TLA,2023,,,1711.1704,
696,TLS,2021,100,100,0.6658,61.84936113
697,TLS,2022,100,100,0.7121,61.75521184
698,TLS,2023,,,0.7029,
699,TMN,2021,93.07527157,99.52960467,1579.9191,2.501678769
700,TMN,2022,93.26488189,99.68829084,1619.0745,2.505007817
701,TMN,2023,,,1642.1681,
702,TON,2021,100,100,0.2015,12.43055556
703,TON,2022,100,100,0.2127,12.43055556
704,TON,2023,,,0.22,
705,TSA,2021,98.27675257,99.8969875,2953.6578,18.86798865
706,TSA,2022,98.01128431,99.91488378,3133.7482,18.91492248
707,TSA,2023,,,3332.5073,
708,TSS,2021,30.40220843,80.73928306,855.5499,26.08441026
709,TSS,2022,30.72216767,80.97477648,839.8439,25.91694579
710,TSS,2023,,,825.5063,
711,TTO,2021,100,100,28.6587,44.39961014
712,TTO,2022,100,100,27.9234,44.31773879
713,TTO,2023,,,27.2162,
714,TUN,2021,99.7,100,31.0141,4.533084449
715,TUN,2022,99.7,100,30.4579,4.542932544
716,TUN,2023,,,31.4975,
717,TUR,2021,100,100,460.6554,29.0741785
718,TUR,2022,100,100,433.7457,29.2768733
719,TUR,2023,,,438.3156,
720,TUV,2021,99.1,100,0,33.33333333
721,TUV,2022,99.1,100,0,33.33333333
722,TUV,2023,,,0,
723,TZA,2021,23.3,77.3,19.2959,51.11311809
724,TZA,2022,36,74.7,18.9815,50.58365319
725,TZA,2023,,,19.3735,
726,UGA,2021,35.9,72.3,7.5764,11.45343756
727,UGA,2022,35.9,72,7.221,11.24771145
728,UGA,2023,,,7.2174,
729,UKR,2021,100,100,194.0549,16.73455299
730,UKR,2022,100,100,138.3356,16.74490853
731,UKR,2023,,,136.1979,
732,UMC,2021,99.14634292,99.61171442,17960.7759,28.86699725
733,UMC,2022,99.15648746,99.63499295,17868.0416,28.84599329
734,UMC,2023,,,18669,
735,URY,2021,100,100,8.5341,11.72437436
736,URY,2022,100,100,8.7104,11.84436064
737,URY,2023,,,8.8173,
738,USA,2021,100,100,4755.1838,33.86692641
739,USA,2022,100,100,4786.6306,33.86692641
740,USA,2023,,,4682.0394,
741,UZB,2021,99.8,100,133.6938,8.431804617
742,UZB,2022,100,100,138.9114,8.49046413
743,UZB,2023,,,137.9001,
744,VCT,2021,100,99.8,0.091,73.17948718
745,VCT,2022,100,100,0.0913,73.17948718
746,VCT,2023,,,0.0963,
747,VEN,2021,99.9,100,71.1775,52.34778074
748,VEN,2022,100,100,77.847,52.29497194
749,VEN,2023,,,84.5953,
750,VGB,2021,100,100,0.0711,24.13333333
751,VGB,2022,100,100,0.0714,24.13333333
752,VGB,2023,,,0.0753,
753,VIR,2021,100,100,0.0002,57.31428571
754,VIR,2022,100,100,0.0002,57.74285714
755,VIR,2023,,,0.0002,
756,VNM,2021,100,100,341.1051,46.96116186
757,VNM,2022,100,100,324.9007,47.20332196
758,VNM,2023,,,372.9485,
759,VUT,2021,60.7,97,0.2631,36.28383921
760,VUT,2022,60.7,97,0.2778,36.28383921
761,VUT,2023,,,0.2873,
762,WLD,2021,84.33774357,97.63828761,38121.01498,31.17567713
763,WLD,2022,83.88561502,97.6357259,38246.62406,31.14304108
764,WLD,2023,,,39023.93704,
765,WSM,2021,97.9,100,0.4291,57.98201439
766,WSM,2022,97.9,100,0.4529,57.80935252
767,WSM,2023,,,0.4684,
768,YEM,2021,63.4,93.1,11.5483,1.039831809
769,YEM,2022,65,96.1,11.1906,1.039831809
770,YEM,2023,,,10.8988,
771,ZAF,2021,93.4,87.4,428.5332,14.0250847
772,ZAF,2022,93.4,87.1,409.4074,13.99507868
773,ZAF,2023,,,397.373,
774,ZMB,2021,14.5,85.7,7.7646,60.03015012
775,ZMB,2022,14.5,87,7.807,59.77696915
776,ZMB,2023,,,8.059,
777,ZWE,2021,31.6,85.3,10.6233,44.97482228
778,ZWE,2022,33.7,89,10.963,44.8557322
779,ZWE,2023,,,11.7441,
