country_code,year,indicator_id,value
ARB,2021,7,4.03110635309368
ARB,2021,8,6006.44027367001
ARB,2021,9,..
ARB,2021,10,..
ARB,2021,11,6445.80726093411
ARB,2021,12,2.46755370359072
ARB,2021,13,61886.4734058454
ARB,2021,14,..
ARB,2021,15,..
ARB,2021,16,..
ARB,2021,17,81.5619817577191
ARB,2021,18,13.8677806572736
ARB,2021,38,0.280598565370132
ARB,2021,40,0.114187811172218
ARG,2021,1,568636554720.066
ARG,2021,2,689809934000
ARG,2021,3,46219083510300
ARG,2021,4,486564085480.036
ARG,2021,5,6700.26354104376
ARG,2021,6,6700.26354104376
ARG,2021,7,10.4418119882506
ARG,2021,8,12549.2811699342
ARG,2021,9,15223.4652234788
ARG,2021,10,1020012.29005223
ARG,2021,11,10738.0179223384
ARG,2021,12,10.1485599877349
ARG,2021,13,62199.2099349718
ARG,2021,14,..
ARG,2021,15,..
ARG,2021,16,46219083510300
ARG,2021,17,33.078689567466
ARG,2021,18,4.7018601528908
ARG,2021,38,0.159988196247474
ARG,2021,40,0.138885076654013
ARM,2021,1,12633615899.6682
ARM,2021,2,5640860300100
ARM,2021,3,6991777800000
ARM,2021,4,13878908628.9378
ARM,2021,5,123.948784902119
ARM,2021,6,123.948784902119
ARM,2021,7,5.80000000065645
ARM,2021,8,4264.79961505187
ARM,2021,9,1904216.41970766
ARM,2021,10,2360253.11413429
ARM,2021,11,4685.17997128509
ARM,2021,12,5.77142760758333
ARM,2021,13,37305.9496348586
ARM,2021,14,..
ARM,2021,15,..
ARM,2021,16,6991777799999.97
ARM,2021,17,79.6698888228399
ARM,2021,18,22.6029577373403
ARM,2021,38,0.159211726630268
ARM,2021,40,0.267728589079385
ABW,2021,1,2958411905.44105
ABW,2021,2,4768167987.77163
ABW,2021,3,5243709375.06937
ABW,2021,4,2929446578.25104
ABW,2021,5,109.973251540577
ABW,2021,6,109.973251540577
ABW,2021,7,24.1326273569798
ABW,2021,8,27469.0056215511
ABW,2021,9,44272.6832662175
ABW,2021,10,48688.1093321204
ABW,2021,11,27200.0610793969
ABW,2021,12,25.154963851554
ABW,2021,13,..
ABW,2021,14,..
ABW,2021,15,..
ABW,2021,16,5243709375.06936
ABW,2021,17,147.015576101595
ABW,2021,18,101.195726912403
ABW,2021,38,0.130212244522369
ABW,2021,40,0.0020661282461218
AUS,2021,1,1522541404227.63
AUS,2021,2,2381066000000
AUS,2021,3,2085822000000
AUS,2021,4,1556735770437.26
AUS,2021,5,87.6003437115981
AUS,2021,6,87.6003437115981
AUS,2021,7,2.11116814768786
AUS,2021,8,59276.503107197
AUS,2021,9,92701.1020886097
AUS,2021,10,81206.4840540615
AUS,2021,11,60607.7788605166
AUS,2021,12,1.96739983729857
AUS,2021,13,113877.827097578
AUS,2021,14,..
AUS,2021,15,..
AUS,2021,16,2085822000000
AUS,2021,17,40.3024802691697
AUS,2021,18,5.54687583073964
AUS,2021,38,0.257568896224318
AUS,2021,40,0.123032396768265
AUT,2021,1,405817602863.188
AUT,2021,2,365761954000
AUT,2021,3,406232064000
AUT,2021,4,480467037338.783
AUT,2021,5,111.064603509855
AUT,2021,6,111.064603509855
AUT,2021,7,4.79532910551458
AUT,2021,8,45313.3990043754
AUT,2021,9,40840.8044532497
AUT,2021,10,45359.6775362371
AUT,2021,11,53648.7190742245
AUT,2021,12,4.33975864673073
AUT,2021,13,129527.9390919
AUT,2021,14,..
AUT,2021,15,..
AUT,2021,16,406232063999.998
AUT,2021,17,111.032268737901
AUT,2021,18,28.7719535105274
AUT,2021,38,0.117451071759811
AUT,2021,40,0.0559934904917667
AZE,2021,1,54190732985.9123
AZE,2021,2,30725360000
AZE,2021,3,93203200000
AZE,2021,4,54825411764.7059
AZE,2021,5,303.342906315825
AZE,2021,6,303.342906315825
AZE,2021,7,5.61645102853028
AZE,2021,8,5345.43986445831
AZE,2021,9,3030.78691031047
AZE,2021,10,9193.67709797539
AZE,2021,11,5408.04535175023
AZE,2021,12,5.15150006870661
AZE,2021,13,44799.8754897277
AZE,2021,14,..
AZE,2021,15,..
AZE,2021,16,93203200000
AZE,2021,17,76.286865687015
AZE,2021,18,17.9016722978503
AZE,2021,38,0.183607256240337
AZE,2021,40,0.0187764098766762
BHR,2021,1,36235315986.0804
BHR,2021,2,13376350000
BHR,2021,3,15355920000
BHR,2021,4,40840212765.9574
BHR,2021,5,114.799029630654
BHR,2021,6,114.799029630654
BHR,2021,7,4.35004091668986
BHR,2021,8,24086.7847803428
BHR,2021,9,8891.69184340237
BHR,2021,10,10207.5759539739
BHR,2021,11,27147.8083882286
BHR,2021,12,2.11919822497499
BHR,2021,13,99917.8036765227
BHR,2021,14,..
BHR,2021,15,..
BHR,2021,16,15355920000
BHR,2021,17,153.799316485108
BHR,2021,18,58.3123642217465
BHR,2021,38,0.450886022073331
BHR,2021,40,0.000447569928255993
BGD,2021,1,285368829855.224
BGD,2021,2,28339444000000
BGD,2021,3,35301848000000
BGD,2021,4,416271647911.014
BGD,2021,5,124.567892016512
BGD,2021,6,124.567892016512
BGD,2021,7,6.93867912442445
BGD,2021,8,1702.08028414189
BGD,2021,9,169030.405039032
BGD,2021,10,210557.612424095
BGD,2021,11,2482.84917843357
BGD,2021,12,6.07069417020969
BGD,2021,13,18112.0203623171
BGD,2021,14,..
BGD,2021,15,..
BGD,2021,16,35301847999999.9
BGD,2021,17,27.7240047036631
BGD,2021,18,4.4059072846168
BGD,2021,38,0.0935275215861091
BGD,2021,40,0.0751845026992809
