id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
36,ATG,2021,1484148566.07947,1601366666.66667,8.1917184618173,4.91376057826946,101.122883462968,62.6144815183018
37,ATG,2022,1625386015.56633,1867733333.33333,9.51639564359461,6.49885619566375,117.630005076464,82.3104277714322
38,ATG,2023,1688158621.57823,2033085185.18518,3.86201218730389,4.80547577274675,,82.5037438448774
39,AUS,2021,1522541404227.63,1556735770437.26,2.11116814768786,3.0799498600023,40.3024802691697,5.54687583073964
40,AUS,2022,1587133480804.53,1690858246994.43,4.24238555336139,7.17553361510235,45.8217702307271,7.20382872784021
41,AUS,2023,1641762491418.85,1728057316695.61,3.44199220009025,6.51199894950456,49.2251840594381,9.59655759860039
42,AUT,2021,405817602863.188,480467037338.783,4.79532910551458,1.92612910926519,111.032268737901,28.7719535105274
43,AUT,2022,427236226636.132,471773629830.381,5.27789421203715,4.75477834804261,124.38345148483,33.7027192428651
44,AUT,2023,423156281454.21,511685203845.001,-0.954962366849259,6.64765341628686,116.813919411879,34.1417217048949
45,AZE,2021,54190732985.9123,54825411764.7059,5.61645102853028,21.5888241949245,76.286865687015,17.9016722978503
46,AZE,2022,56745718946.4579,78807470588.2353,4.71480236521231,37.2705611565603,86.9822732541779,16.2834930549284
47,AZE,2023,57383526259.1424,72356176470.5882,1.12397432709641,-9.20663944963042,83.6193503542524,20.5996622915236
48,BDI,2021,3318099327.75908,2775798697.46022,3.09999999870627,8.51671971494707,28.8186599995439,14.2892755423436
49,BDI,2022,3379450965.7308,3338722827.65691,1.84899943948213,18.3317223148693,28.315320358729,13.1243145233596
50,BDI,2023,3470696161.98259,2642161668.85211,2.70000059705133,11.3760314899613,29.5932478695071,18.3190865519463
51,BEL,2021,499595504127.06,598494036474.409,6.20255401586081,2.7426355945688,177.390305424732,45.6726621439773
52,BEL,2022,520745539238.467,593438820508.173,4.2334318336917,6.84397975156924,191.996289195725,48.073345913659
53,BEL,2023,527263714444.414,644782756682.756,1.25170063203595,4.508102848783,168.927603708475,48.4011895502039
54,BEN,2021,15779238957.7761,17690083519.9323,7.1554516457574,1.61872506665755,48.0548608324409,8.15436762219276
55,BEN,2022,16765953415.3733,17401746309.2655,6.25324491401346,4.13878000011482,50.93352007034,8.57425015591214
56,BEN,2023,17831064526.9239,19676049075.7011,6.35282160914288,3.38546435195668,51.3504650113905,
57,BFA,2021,16396850182.5889,19697516284.3787,6.94252492572348,0.112863112943955,62.4203586607795,10.0078703072852
58,BFA,2022,16642350339.7932,18820218690.5948,1.4972397409897,5.88896511236759,64.8438739203037,10.3502918267249
59,BFA,2023,17134994111.3648,20324617844.5265,2.96018147384929,1.99804752407688,64.8223211154384,
60,BGD,2021,285368829855.224,416271647911.014,6.93867912442445,4.1211747067957,27.7240047036631,4.4059072846168
61,BGD,2022,305629528154.311,460131688909.301,7.09982877575158,5.04902187883131,33.7799672705735,4.43872669638398
62,BGD,2023,323279976841.364,437415331040.994,5.77511237007889,6.89712404003441,30.9829714104596,3.97608647100017
63,BGR,2021,59718632534.0491,84417951260.8091,7.78061481406978,6.96662433933332,121.157354617771,20.6722500834981
